row_index,job_id,title,extracted_salary,currency,n_ranges_found,source,status
9599,JR110199,"Sr. Manager, Strategy & Corporate Development",,,0,,malformed_skipped
9646,JR2026494681,Senior Weight and Mass Properties Engineer,156325.0,USD,1,range,filled
9648,JR101451,Export Compliance Manager,,,0,,malformed_skipped
9713,7374,Financial Analyst,165000.0,USD,1,range,filled
9716,JR111253,Sr. Payroll Analyst,,,0,,malformed_skipped
9737,JR8622,"Product Engineer, Sr Lead",132850.0,USD,1,range,filled
9787,7655,Mid-Level Software Engineer,146000.0,USD,1,range,filled
9829,7654,Junior Software Engineer,121750.0,USD,1,range,filled
9880,93458599760,"Specialist, Project Engineering",110500.0,USD,1,range,filled
9886,JR2026503661,Design and Analysis Engineer,132000.0,USD,1,range,filled
9910,JR110236,"Manager, Engineering - Electromechanical Actuation",,,0,,malformed_skipped
9959,121846,Sovereign Instructor Pilot,,,0,,malformed_skipped
9960,JR2026513271,Quality Manager - Software Quality Engineering,198450.0,USD,1,range,filled
9980,94530013120,"Specialist, Trade Compliance",99000.0,USD,1,range,filled
9989,96481332112,"Lead, Crypto-Communications Security Systems Engineer",178500.0,USD,1,range,filled
10047,121932,Falcon 7X Instructor Pilot,,,0,,malformed_skipped
10050,121929,2000 EASy/900EASy Instructor Pilot,,,0,,malformed_skipped
10121,JR110070,Sr. Internal Control and Process Improvement Analyst,,,0,,malformed_skipped
10143,96255791120,"Lead, Project Engineer",,,0,,malformed_skipped
10282,93933949168,Lead Member Engineering Staff - CAM - LMES Level,,,0,,malformed_skipped
10290,119492,Software Engineer,128150.0,USD,1,range,filled
10584,JR101495,Sr. Manufacturing Engineering Manager,202750.0,USD,1,range,filled
10605,JR9892,Electro-Mechanical Design Engineer,121000.0,USD,1,range,filled
10633,96190932112,"Senior Specialist, Software Engineering",150000.0,USD,1,range,filled
10660,36041,Sr Manufacturing Engineer,,,0,,malformed_skipped
10742,7972,Mid-Level Radar Exploitation Engineer,100500.0,USD,1,range,filled
10998,JR110300,Advanced Sourcing Engineer I,,,0,,malformed_skipped
11043,JR11814,Electrical Engineering Manager,160100.0,USD,1,range,filled
11080,95294387376,"Lead, Project Engineer",,,0,,malformed_skipped
11157,JR11411,Project Manager,120000.0,USD,1,range,filled
11164,96234192064,"Lead, Mechanical Engineering(Sign-on bonus-$15k-$25k)",,,0,,malformed_skipped
11178,JR12528,"Sr. Manager, Business Development",183800.0,USD,1,range,filled
11231,JR2026514395,Facilities Project Administrator,100500.0,USD,2,range,filled
11242,JR12126,Weld Engineer (Sign on Bonus Available for Select Candidates!),105000.0,USD,1,range,filled
11394,JR110856,Client/Server Administrator,,,0,,malformed_skipped
11443,96255790864,"Senior Specialist, Mechanical Engineering(Sign-on bonus-$15k-$25k)",,,0,,malformed_skipped
11657,96505721936,"Supervisor, Operations Management",95500.0,USD,1,range,filled
11827,96234191952,"Specialist, Mechanical Engineering",,,0,,malformed_skipped
11835,8533743002,Sr. Antenna Engineer (Starship),,,0,,malformed_skipped
11847,JR12059,Production Planner,73500.0,USD,1,range,filled
11853,121161,Rotary & UAS Business Development Manager,,,0,,malformed_skipped
11936,JR2026513348,Experienced Avionics Technician - B-52 (2400),78000.0,USD,1,hourly_annualized,filled
11944,96179150480,"Senior Manager, Systems Engineering",,,0,,malformed_skipped
11962,JR11624,"Electrical Engineer, Lead (Sign on Bonus available for select candidates!)",142500.0,USD,1,range,filled
12058,JR11885,Lead Proposal Analyst,119000.0,USD,1,range,filled
12064,JR12228,Senior Demo Gear Coordinator,82050.0,USD,1,range,filled
12093,JR111287,Mechanical Drafter/Designer III/Senior,,,0,,malformed_skipped
12126,92315569728,Space Propulsion Test Mechanic C- 1st Shift,72675.2,USD,1,hourly_annualized,filled
12167,96234191968,"Associate Manager, Mechanical Engineering(Sign-on bonus-$15k-25k)",,,0,,malformed_skipped
12189,96304034432,"Senior Specialist, Project Management",126000.0,USD,1,range,filled
12233,1533701,Quality Engineer II,112700.0,USD,1,range,filled
12355,JR2026514382,Linux System Administrator (Associate),104500.0,USD,2,range,filled
12401,JR2026513084,Entry Level Systems Engineering Engineer,87000.0,USD,1,range,filled
12452,93274096176,"Sr Specialist, CAD Design (Aerospace Design) : Sign-on bonus ($20K max)",131000.0,USD,1,range,filled
12457,96519773872,"Supervisor, Operations Management",93000.0,USD,1,range,filled
12475,95666305360,Systems Engineer,,,0,,malformed_skipped
12579,JR11606,Project Engineer,90000.0,USD,1,range,filled
12612,JR111373,Project Manager (Licensee Onboarding),,,0,,malformed_skipped
12739,JR11628,Manufacturing Engineering Specialist,78500.0,USD,1,range,filled
12757,JR101430,Import Compliance Analyst,92751.9,USD,1,range,filled
12763,95045857488,Senior Supervisor Operations Manager,109000.0,USD,1,range,filled
12803,93801107024,"Inventory Management, Support D 1",73000.0,USD,1,range,filled
12877,JR11682,Sr. Electrical Engineer,122500.0,USD,1,range,filled
